Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
gabelmoobwscan,DE,1000,1664,131.188.40.189,despari.informatik.uni-erlangen.de,9999,None,0,0,0,0,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2014-09-03,DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.- DE,680,20,None
doItLikeUDo,RO,997,155,86.107.110.143,serv2.relesserv.biz,50941,None,0,0,1,1,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2016-11-12,RCS-RDS 73-75 Dr. Staicovici- RO,8708,7920,None
Rocket147,CA,997,480,167.114.113.134,134.ip-167-114-113.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-04-25,OVH - FR,16276,3890,None
aergia,FR,995,76,37.187.98.185,node.aergia.eu,22,49030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2014-06-06,OVH - FR,16276,2990,[2001:41d0:a:22b9::1]:22
helldog,HU,992,74,178.164.222.152,178-164-222-152.pool.digikabel.hu,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2013-12-09,DIGICABLE - HU,20845,4480,None
maatuska,SE,992,109,171.25.193.9,maatuska.4711.se,80,443,1,0,0,0,0,0,1,1,1,Tor 0.2.9.8 on FreeBSD,0,0,2010-02-17,DFRI-AS - SE,198093,20,[2001:67c:289c::9]:80
CalyxInstitute04,US,991,35,162.247.73.204,billsf.tor-exit.calyxinstitute.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2013-07-08,CALYX-AS - The Calyx Institute- US,4224,6160,None
emmentaler,CH,991,1023,179.43.169.14,secured-by.zenmate.com,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-06-29,PLI-AS - CH,51852,4020,None
PaddingtonBrown,FR,990,11010,91.121.195.169,quokka.ipv4.pl,8080,None,0,0,1,1,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2015-04-08,OVH - FR,16276,6640,None
theykilledaaron,CH,990,38,62.167.85.34,adsl-62-167-85-34.adslplus.ch,943,930,0,0,1,0,0,0,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-06-10,SUNRISE - CH,6730,5060,None
torah22,FR,990,317,163.172.155.160,160-155-172-163.rev.cloud.scaleway.com,8224,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-12-10,AS12876 - FR,12876,7720,None
badger,CH,989,831,46.28.205.23,hosted-by.solarcom.ch,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-03-25,SOLARCOM - CH,197988,3220,None
Geheimschreiber,GB,989,1012,109.156.170.85,host109-156-170-85.range109-156.btcentralplus.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-09-06,BT-UK-AS BTnet UK Regional network- GB,2856,3430,None
LoToR,GB,988,709,176.58.118.208,li517-208.members.linode.com,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-12-05,LINODE-AP Linode- LLC- US,63949,17400,None
Unnamed,US,988,313,172.86.144.15,172.86.144.15,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-11-30,AS-CHOOPA - Choopa- LLC- US,20473,3460,[2001:19f0:1604:3ede::3:f]:443
d6relay,NL,986,269,80.127.137.19,a80-127-137-19.adsl.xs4all.nl,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2013-09-07,XS4ALL-NL Amsterdam- NL,3265,5600,[2001:981:47c1:1::6]:443
deepthroat,FR,986,827,92.222.74.203,203.ip-92-222-74.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-11-30,OVH - FR,16276,7620,None
c0by03,FR,984,125,51.15.57.130,130-57-15-51.rev.cloud.scaleway.com,9001,9091,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-12-30,AS12876 - FR,12876,20,None
vikinghelga,IS,984,1040,193.107.85.56,193.107.85.56,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2014-06-04,THORDC-AS - IS,50613,3050,None
